allele,Line,sex,individual,TotalArea,Semiqt_Raw,Semiqt_Num
SAM,304,M,1.tif,52.656,A,10
SAM,304,M,2.tif,49.817,A,10
SAM,304,M,3.tif,51.337,A,10
SAM,304,M,4.tif,49.97,A,10
SAM,304,M,5.tif,51.081,A,10
SAM,304,M,6.tif,52.28,A,10
SAM,313,M,1.tif,46.369,A,10
SAM,313,M,2.tif,48.23,A,10
SAM,313,M,3.tif,46.66,A,10
SAM,313,M,4.tif,49.649,A,10
SAM,313,M,5.tif,46.596,A,10
SAM,313,M,7.tif,50.14,A,10
SAM,315,M,1.tif,44.987,A,10
SAM,315,M,2.tif,44.533,A,10
SAM,315,M,3.tif,46.984,A,10
SAM,315,M,4.tif,46.489,A,10
SAM,315,M,5.tif,47.406,A,10
SAM,315,M,6.tif,48.672,A,10
SAM,324,M,1.tif,42.223,A,10
SAM,324,M,2.tif,41.897,A,10
SAM,324,M,4.tif,40.754,A,10
SAM,324,M,5.tif,42.555,A,10
SAM,324,M,6.tif,36.852,A,10
SAM,341,M,1.tif,47.519,A,10
SAM,341,M,2.tif,46.233,A,10
SAM,341,M,3.tif,53.649,A,10
SAM,341,M,4.tif,45.541,A,10
SAM,341,M,5.tif,45.907,A,10
SAM,341,M,6.tif,48.08,A,10
SAM,357,M,1.tif,53.235,A,10
SAM,357,M,2.tif,47.564,A,10
SAM,357,M,3.tif,47.429,A,10
SAM,357,M,4.tif,50.538,A,10
SAM,357,M,5.tif,49.695,A,10
SAM,357,M,6.tif,54.773,A,10
SAM,358,M,1.tif,46.377,A,10
SAM,358,M,2.tif,49.548,A,10
SAM,358,M,3.tif,46.269,A,10
SAM,358,M,4.tif,47.804,A,10
SAM,358,M,5.tif,52.346,A,10
SAM,358,M,6.tif,46.829,A,10
SAM,360,M,1.tif,51.025,A,10
SAM,360,M,2.tif,52.818,A,10
SAM,360,M,3.tif,51.546,A,10
SAM,360,M,4.tif,52.566,A,10
SAM,360,M,5.tif,54.563,A,10
SAM,360,M,6.tif,49.44,A,10
SAM,365,M,1.tif,41.422,A,10
SAM,365,M,2.tif,43.058,A,10
SAM,365,M,3.tif,41.073,A,10
SAM,365,M,4.tif,36.922,A,10
SAM,365,M,5.tif,41.083,A,10
SAM,365,M,6.tif,39.636,A,10
SAM,375,M,1.tif,49.164,A,10
SAM,375,M,2.tif,46.727,A,10
SAM,375,M,3.tif,43.197,A,10
SAM,375,M,4.tif,43.889,A,10
SAM,375,M,5.tif,49.577,A,10
SAM,375,M,6.tif,49.442,A,10
SAM,379,M,1.tif,41.68,A,10
SAM,379,M,2.tif,44.088,A,10
SAM,379,M,3.tif,44.607,A,10
SAM,379,M,4.tif,44.683,A,10
SAM,379,M,5.tif,43.874,A,10
SAM,379,M,6.tif,40.431,A,10
SAM,380,M,1.tif,45.982,A,10
SAM,380,M,2.tif,46.711,A,10
SAM,380,M,3.tif,49.505,A,10
SAM,380,M,4.tif,46.459,A,10
SAM,380,M,5.tif,48.97,A,10
SAM,380,M,6.tif,47.771,A,10
SAM,399,M,1.tif,41.868,A,10
SAM,399,M,2.tif,44.889,A,10
SAM,399,M,3.tif,40.667,A,10
SAM,399,M,4.tif,41.513,A,10
SAM,399,M,5.tif,43.456,A,10
SAM,399,M,6.tif,54.159,A,10
sd1,304,M,1.tif,47.83,B,9
sd1,304,M,2.tif,47.086,A,10
sd1,304,M,3.tif,46.715,C,8
sd1,304,M,4.tif,49.292,A,10
sd1,304,M,5.tif,51.975,B,9
sd1,304,M,6.tif,46.07,A,10
sd1,313,M,1.tif,36.005,D,7
sd1,313,M,2.tif,42.377,C,8
sd1,313,M,3.tif,45.105,A,10
sd1,313,M,4.tif,44.215,B,9
sd1,313,M,5.tif,44.395,B,9
sd1,313,M,6.tif,43.992,C,8
sd1,315,M,1.tif,40.724,A,10
sd1,315,M,2.tif,38.179,C,8
sd1,315,M,4.tif,44.916,B,9
sd1,315,M,5.tif,45.714,A,10
sd1,315,M,6.tif,51.857,A,10
sd1,324,M,1.tif,44.968,A,10
sd1,324,M,2.tif,45.456,C,8
sd1,324,M,3.tif,45.173,C,8
sd1,324,M,4.tif,45.983,A,10
sd1,324,M,5.tif,43.199,B,9
sd1,324,M,6.tif,45.194,C,8
sd1,341,M,1.tif,44.723,A,10
sd1,341,M,2.tif,43.27,A,10
sd1,341,M,3.tif,40.845,C,8
sd1,341,M,4.tif,43.715,B,9
sd1,341,M,5.tif,47.931,C,8
sd1,341,M,6.tif,41.223,B,9
sd1,357,M,10.tif,43.219,B,9
sd1,357,M,11.tif,44.875,C,8
sd1,357,M,12.tif,48.119,C,8
sd1,357,M,7.tif,42.491,C,8
sd1,357,M,8.tif,44.989,C,8
sd1,357,M,9.tif,47.498,C,8
sd1,358,M,1.tif,41.075,A,10
sd1,358,M,2.tif,50.409,B,9
sd1,358,M,3.tif,47.939,B,9
sd1,358,M,4.tif,43.209,B,9
sd1,358,M,5.tif,47.743,A,10
sd1,358,M,6.tif,47.307,C,8
sd1,360,M,1.tif,48.06,B,9
sd1,360,M,2.tif,52.842,A,10
sd1,360,M,3.tif,44.687,A,10
sd1,360,M,4.tif,46.935,B,9
sd1,360,M,5.tif,48.774,A,10
sd1,360,M,6.tif,42.93,B,9
sd1,365,M,1.tif,41.342,A,10
sd1,365,M,2.tif,39.901,A,10
sd1,365,M,3.tif,45.203,A,10
sd1,365,M,4.tif,45.348,B,9
sd1,365,M,5.tif,45.153,B,9
sd1,365,M,6.tif,35.581,B,9
sd1,375,M,1.tif,47.617,B,9
sd1,375,M,2.tif,50.699,A,10
sd1,375,M,3.tif,47.387,A,10
sd1,375,M,4.tif,44.324,C,8
sd1,375,M,5.tif,52.455,A,10
sd1,375,M,6.tif,51.24,A,10
sd1,379,M,1.tif,41.835,B,9
sd1,379,M,2.tif,40.651,A,10
sd1,379,M,3.tif,42.106,C,8
sd1,379,M,4.tif,39.844,C,8
sd1,379,M,5.tif,40.382,B,9
sd1,379,M,6.tif,41.593,B,9
sd1,380,M,1.tif,48.632,B,9
sd1,380,M,2.tif,45.295,A,10
sd1,380,M,3.tif,43.951,B,9
sd1,380,M,4.tif,42.96,C,8
sd1,380,M,5.tif,43.98,C,8
sd1,380,M,6.tif,46.01,A,10
sd1,399,M,1.tif,42.542,C,8
sd1,399,M,2.tif,44.953,A,10
sd1,399,M,3.tif,43.907,C,8
sd1,399,M,4.tif,44.268,B,9
sd1,399,M,5.tif,39.318,C,8
sd1,399,M,6.tif,43.27,C,8
sd58d,304,M,1.tif,7.881,G,4
sd58d,304,M,2.tif,8.259,G,4
sd58d,304,M,3.tif,7.63,G,4
sd58d,304,M,4.tif,8.547,G,4
sd58d,304,M,5-1.tif,7.942,G,4
sd58d,304,M,6-1.tif,9.018,G,4
sd58d,313,M,1.tif,9.782,G,4
sd58d,313,M,2.tif,9.131,G,4
sd58d,313,M,3.tif,8.465,G,4
sd58d,313,M,4.tif,8.09,G,4
sd58d,313,M,5.tif,9.419,G,4
sd58d,313,M,6.tif,7.66,G,4
sd58d,315,M,1.tif,5.106,H,3
sd58d,315,M,3.tif,6.767,G,4
sd58d,315,M,5.tif,5.21,I,2
sd58d,315,M,6.tif,5.706,H,3
sd58d,315,M,7.tif,6.065,G,4
sd58d,315,M,8.tif,5.788,H,3
