Background,Sex,Genotype,Vial,Temp,length
SAM,F,wt,1,28,1923.918
SAM,F,wt,1,28,1797.855
SAM,F,wt,1,28,1889.636
SAM,F,wt,1,28,1746.695
SAM,F,wt,1,28,1794.543
SAM,F,wt,1,28,1843.533
SAM,F,wt,1,28,1906.226
SAM,F,wt,1,28,1931.504
SAM,F,wt,1,28,1871.35
SAM,F,wt,1,28,1870.577
SAM,F,wt,1,28,1855.345
SAM,F,wt,1,28,1862.224
SAM,F,wt,1,28,1920.637
SAM,F,wt,1,28,1959.057
SAM,F,wt,1,28,1924.932
SAM,F,wt,1,28,1792.749
SAM,F,wt,1,28,1783.552
SAM,F,wt,1,28,1822.591
SAM,F,wt,1,28,1783.585
SAM,F,wt,1,28,1777.334
SAM,M,wt,1,28,1628.935
SAM,M,wt,1,28,1683.081
SAM,M,wt,1,28,1589.222
SAM,M,wt,1,28,1606.953
SAM,M,wt,1,28,1633.208
SAM,M,wt,1,28,1610.733
SAM,M,wt,1,28,1690.18
SAM,M,wt,1,28,1666.853
SAM,M,wt,1,28,1741.338
SAM,M,wt,1,28,1911.107
SAM,M,wt,1,28,1674.034
SAM,M,wt,1,28,1752.092
SAM,M,wt,1,28,1700.98
SAM,M,wt,1,28,1695.947
SAM,M,wt,1,28,1567.149
SAM,M,wt,1,28,1628.474
SAM,M,wt,1,28,1601.173
SAM,M,wt,1,28,1568.581
SAM,M,wt,1,28,1555.247
SAM,M,wt,1,28,1623.977
SAM,M,wt,1,28,1562.482
SAM,F,vg1,1,28,715.11
SAM,F,vg1,1,28,732.671
SAM,F,vg1,1,28,664.854
SAM,F,vg1,1,28,706.359
SAM,F,vg1,1,28,741.962
SAM,F,vg1,1,28,661.544
SAM,F,vg1,1,28,770.174
SAM,F,vg1,1,28,695.232
SAM,F,vg1,1,28,1046.377
SAM,F,vg1,1,28,905.507
SAM,F,vg1,1,28,833.327
SAM,F,vg1,1,28,684.109
SAM,F,vg1,1,28,692.343
SAM,F,vg1,1,28,666.919
SAM,F,vg1,1,28,633.652
SAM,F,vg1,1,28,675.172
SAM,F,vg1,1,28,928.865
SAM,F,vg1,1,28,825.202
SAM,F,vg1,1,28,1038.842
SAM,F,vg1,1,28,903.709
SAM,F,vg1,1,28,961.557
SAM,F,vg1,1,28,1112.3
SAM,F,vg1,1,28,697.19
SAM,F,vg1,1,28,774.075
SAM,M,vg1,1,28,782.154
SAM,M,vg1,1,28,1573.321
SAM,M,vg1,1,28,1543.398
SAM,M,vg1,1,28,1495.127
SAM,M,vg1,1,28,1581.104
SAM,M,vg1,1,28,1638.962
SAM,M,vg1,1,28,1213.705
SAM,M,vg1,1,28,1557.194
SAM,M,vg1,1,28,1539.654
SAM,M,vg1,1,28,1573.477
SAM,M,vg1,1,28,1874.844
SAM,M,vg1,1,28,1612.822
SAM,M,vg1,1,28,1332.891
SAM,M,vg1,1,28,1514.408
SAM,M,vg1,1,28,1459.025
SAM,M,vg1,1,28,1490.138
SAM,M,vg1,1,28,1675.621
SAM,M,vg1,1,28,1600.862
SAM,M,vg1,1,28,1612.552
SAM,M,vg1,1,28,1368.233
SAM,M,vg1,1,28,1483.456
SAM,F,vg83b27,1,28,251.366
SAM,F,vg83b27,1,28,428.665
SAM,F,vg83b27,1,28,359.571
SAM,F,vg83b27,1,28,469.173
SAM,F,vg83b27,1,28,460.105
SAM,F,vg83b27,1,28,476.825
SAM,F,vg83b27,1,28,402.004
SAM,F,vg83b27,1,28,417.454
SAM,F,vg83b27,1,28,447.205
SAM,F,vg83b27,1,28,322.679
SAM,F,vg83b27,1,28,492.425
SAM,F,vg83b27,1,28,469.099
SAM,F,vg83b27,1,28,409.5
SAM,F,vg83b27,1,28,387.552
SAM,F,vg83b27,1,28,553.855
SAM,F,vg83b27,1,28,337.79
SAM,F,vg83b27,1,28,405.978
SAM,F,vg83b27,1,28,476.081
SAM,F,vg83b27,1,28,695.199
SAM,F,vg83b27,1,28,466.843
SAM,F,vg83b27,1,28,588.54
SAM,F,vg83b27,1,28,435.409
SAM,F,vg83b27,1,28,462.599
SAM,M,vg83b27,1,28,407.401
SAM,M,vg83b27,1,28,390.425
SAM,M,vg83b27,1,28,373.29
SAM,M,vg83b27,1,28,811.328
SAM,M,vg83b27,1,28,434.832
SAM,M,vg83b27,1,28,392.014
SAM,M,vg83b27,1,28,458.212
SAM,M,vg83b27,1,28,395.974
SAM,M,vg83b27,1,28,243.245
SAM,M,vg83b27,1,28,892.509
SAM,M,vg83b27,1,28,677.564
SAM,M,vg83b27,1,28,331.477
SAM,M,vg83b27,1,28,1432.586
SAM,M,vg83b27,1,28,403.67
SAM,M,vg83b27,1,28,260.475
SAM,M,vg83b27,1,28,459.617
SAM,M,vg83b27,1,28,390.357
SAM,M,vg83b27,1,28,563.693
SAM,M,vg83b27,1,28,299.243
SAM,M,vg83b27,1,28,448.31
SAM,F,wt,1,24,2016.478
SAM,F,wt,1,24,2050.051
SAM,F,wt,1,24,2071.178
SAM,F,wt,1,24,2184.59
SAM,F,wt,1,24,2107.212
SAM,F,wt,1,24,2039.433
SAM,F,wt,1,24,2091.026
SAM,F,wt,1,24,2110.518
SAM,F,wt,1,24,2234.515
SAM,F,wt,1,24,2071.386
SAM,F,wt,1,24,2134.27
SAM,F,wt,1,24,2126.151
SAM,F,wt,1,24,2129.963
SAM,F,wt,1,24,2142.692
SAM,F,wt,1,24,2142.696
SAM,F,wt,1,24,2115.189
SAM,F,wt,1,24,2192.663
SAM,F,wt,1,24,2167.18
SAM,F,wt,1,24,2163.93
SAM,F,wt,1,24,2139.872
SAM,F,wt,1,24,2126.063
SAM,F,wt,1,24,2147.429
SAM,F,wt,1,24,2101.214
SAM,F,wt,1,24,2180.788
SAM,M,wt,1,24,1879.775
SAM,M,wt,1,24,1830.12
SAM,M,wt,1,24,1890.398
SAM,M,wt,1,24,1890.52
SAM,M,wt,1,24,1836.574
SAM,M,wt,1,24,1868.856
SAM,M,wt,1,24,1905.548
SAM,M,wt,1,24,1893.478
SAM,M,wt,1,24,1902.478
SAM,M,wt,1,24,2025.475
SAM,M,wt,1,24,1898.46
SAM,M,wt,1,24,1847.646
